Gene,KEGG
Os05g0137200 ,ABC transporters
Os06g0643300 ,Endocytosis
Os02g0644500 ,Autophagy - other
Os02g0479300 ,"Pyrimidine metabolism, Metabolic pathways"
Os04g0269600 ,"Glycine, serine and threonine metabolism, Tyrosine metabolism, Phenylalanine metabolism, beta-Alanine metabolism, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0224900 ,Ribosome biogenesis in eukaryotes
Os01g0304000 ,Ribosome
Os03g0320900 ,"Purine metabolism, Metabolic pathways"
Os03g0278200 ,Amino sugar and nucleotide sugar metabolism
Os07g0688500 ,mRNA surveillance pathway
Os02g0784700 ,Proteasome
Os04g0486950 ,"Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os11g0226933 ,Plant-pathogen interaction
Os01g0670800 ,Plant hormone signal transduction
Os10g0539600 ,Plant-pathogen interaction
Os11g0100200 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os01g0120800 ,RNA transport
Os02g0218700 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0777300 ,Mismatch repair
Os11g0153600 ,Protein export
Os09g0451500 ,Protein processing in endoplasmic reticulum
Os01g0839700 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os01g0227300 ,"Endocytosis, Phagosome"
Os06g0645400 ,Aminoacyl-tRNA biosynthesis
Os02g0769100 ,Plant hormone signal transduction
Os04g0165600 ,Protein export
Os03g0157800 ,RNA degradation
Os12g0129400 ,RNA transport
Os12g0442800 ,"Sulfur metabolism, Metabolic pathways"
Os02g0236800 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0219600 ,mRNA surveillance pathway
Os01g0952600 ,"Galactose metabolism, Other glycan degradation, Sphingolipid metabolism, Metabolic pathways"
Os02g0569900 ,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os01g0175000 ,Glycerophospholipid metabolism
Os05g0392400 ,Homologous recombination
Os02g0114700 ,Ribosome biogenesis in eukaryotes
Os01g0106900 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0229400 ,"Phagosome, AGE-RAGE signaling pathway in diabetic complications"
Os08g0113100 ,"Fructose and mannose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os05g0106100 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os06g0681600 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0438000 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os06g0612200 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os09g0402300 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os02g0481900 ,"Ribosome biogenesis in eukaryotes, RNA degradation"
Os07g0604000 ,"Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os02g0465900 ,"Glutathione metabolism, Metabolic pathways"
Os01g0326300 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0141000 ,Ribosome
Os11g0585700 ,Ribosome
Os02g0770000 ,Proteasome
Os10g0577900 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0807800 ,Ribosome
Os02g0701900 ,"Sphingolipid metabolism, Metabolic pathways"
Os03g0125000 ,Ribosome
Os01g0746200 ,RNA transport
Os12g0508100 ,Peroxisome
Os07g0622100 ,Ribosome
Os01g0734466 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os04g0615100 ,"Glycerophospholipid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0490200 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os11g0439600 ,"Purine metabolism, Pyrimidine metabolism"
Os08g0117300 ,Ribosome
Os05g0475400 ,"Alanine, aspartate and glutamate metabolism, Glycine, serine and threonine metabolism, Cysteine and methionine metabolism, Valine, leucine and isoleucine degradation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0501000 ,Ribosome
Os11g0140600 ,Plant-pathogen interaction
Os03g0266900 ,Protein processing in endoplasmic reticulum
Os03g0809900 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os12g0210800 ,Metabolic pathways
Os01g0283700 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0222100 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os07g0640200 ,"Pentose and glucuronate interconversions, Metabolic pathways"
Os07g0179300 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0196100 ,ABC transporters
Os12g0596000 ,"Lipoic acid metabolism, Metabolic pathways"
Os08g0151400 ,Spliceosome
Os02g0617600 ,mRNA surveillance pathway
Os11g0141000 ,Autophagy - other
Os01g0958900 ,Mismatch repair
Os03g0267300 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os03g0424500 ,Ribosome
Os01g0695600 ,Cysteine and methionine metabolism
Os03g0231600 ,"Cysteine and methionine metabolism, Valine, leucine and isoleucine degradation, Valine, leucine and isoleucine biosynthesis, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os12g0169800 ,Plant-pathogen interaction
Os08g0484500 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os04g0650900 ,"Glycosaminoglycan degradation, Metabolic pathways"
Os10g0466300 ,"Spliceosome, Ubiquitin mediated proteolysis"
Os03g0408500 ,Basal transcription factors
Os12g0631100 ,"Endocytosis, Phagosome"
Os02g0137400 ,Spliceosome
Os03g0363800 ,Spliceosome
Os04g0556500 ,Zeatin biosynthesis
Os01g0660300 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os11g0702100 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os06g0207000 ,"Pantothenate and CoA biosynthesis, Metabolic pathways"
Os01g0940000 ,Zeatin biosynthesis
Os03g0565100 ,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum"
Os04g0504800 ,"RNA transport, mRNA surveillance pathway, RNA degradation"
Os01g0924000 ,Ribosome
Os12g0562400 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, AGE-RAGE signaling pathway in diabetic complications"
Os01g0348600 ,"Fatty acid degradation, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism"
Os03g0163300 ,Glutathione metabolism
Os07g0512200 ,Autophagy - other
Os02g0600400 ,"Pentose phosphate pathway, Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os09g0347900 ,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
Os02g0103800 ,"Photosynthesis, Metabolic pathways"
Os10g0189100 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Galactose metabolism, Purine metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0180600 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Autophagy - other, Phagosome"
Os11g0572700 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0564900 ,"Ribosome biogenesis in eukaryotes, Circadian rhythm - plant"
Os04g0637400 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair, Homologous recombination"
Os04g0601700 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os04g0592700 ,Ribosome biogenesis in eukaryotes
Os02g0190000 ,ABC transporters
Os12g0170700 ,Ribosome biogenesis in eukaryotes
Os02g0778400 ,"Pyrimidine metabolism, Metabolic pathways"
Os04g0602100 ,"Ascorbate and aldarate metabolism, Glutathione metabolism"
Os03g0848600 ,Plant-pathogen interaction
Os09g0567300 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os03g0113700 ,RNA degradation
Os04g0306400 ,"Pentose phosphate pathway, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0200500 ,Ribosome
Os10g0155500 ,"Glycolysis / Gluconeogenesis, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0122300 ,RNA transport
Os05g0462400 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0655100 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Carbon metabolism, Biosynthesis of amino acids"
Os04g0531750 ,"Monoterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os02g0656300 ,Ubiquitin mediated proteolysis
Os01g0813700 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0428950 ,"Ribosome biogenesis in eukaryotes, RNA transport"
Os10g0390500 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os07g0585800 ,"Oxidative phosphorylation, Metabolic pathways"
Os02g0805500 ,"Sulfur metabolism, Metabolic pathways"
Os10g0103800 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system"
Os02g0796500 ,Plant hormone signal transduction
Os07g0523150 ,Ribosome
Os10g0567400 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0517200 ,"Starch and sucrose metabolism, Metabolic pathways"
Os07g0681000 ,RNA transport
Os03g0333100 ,Ribosome biogenesis in eukaryotes
Os06g0192600 ,Proteasome
Os02g0193800 ,Endocytosis
Os03g0386500 ,"Starch and sucrose metabolism, Metabolic pathways"
Os09g0482680 ,RNA transport
Os01g0815800 ,Ribosome
Os04g0605900 ,Ribosome
Os01g0614900 ,Autophagy - other
Os03g0815400 ,Ribosome
Os10g0516100 ,"Glycine, serine and threonine metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os06g0193000 ,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum"
Os05g0412800 ,Glutathione metabolism
Os07g0613300 ,RNA transport
Os06g0728000 ,Base excision repair
Os08g0140500 ,"Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Isoquinoline alkaloid biosynthesis, Betalain biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0133900 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os03g0399532 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os12g0105500 ,Terpenoid backbone biosynthesis
Os06g0342200 ,RNA transport
Os03g0256400 ,"Histidine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os07g0412400 ,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Ribosome biogenesis in eukaryotes"
Os03g0351200 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0658900 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0256000 ,RNA transport
Os12g0603800 ,Plant-pathogen interaction
Os04g0474800 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0413200 ,Phagosome
Os11g0525600 ,Other glycan degradation
Os08g0457600 ,Purine metabolism
Os03g0134300 ,"Histidine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os03g0290500 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system"
Os07g0186500 ,Plant-pathogen interaction
Os03g0187700 ,SNARE interactions in vesicular transport
Os01g0205500 ,Ribosome
Os05g0537400 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os07g0134800 ,"Citrate cycle (TCA cycle), Oxidative phosphorylation, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os04g0492900 ,RNA degradation
Os03g0703400 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os04g0608400 ,RNA transport
Os06g0143400 ,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
Os03g0152400 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0773600 ,Protein processing in endoplasmic reticulum
Os10g0457500 ,"Purine metabolism, Metabolic pathways"
Os06g0677400 ,"Valine, leucine and isoleucine degradation, Metabolic pathways"
Os01g0930800 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0492100 ,Spliceosome
Os04g0398500 ,"Oxidative phosphorylation, Metabolic pathways"
Os12g0588900 ,Sulfur relay system
Os03g0650700 ,Ribosome biogenesis in eukaryotes
Os09g0258600 ,Ribosome
Os07g0152900 ,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Peroxisome"
Os06g0267600 ,Autophagy - other
Os04g0346800 ,"Pyrimidine metabolism, Metabolic pathways"
Os07g0686900 ,Amino sugar and nucleotide sugar metabolism
Os06g0712500 ,Amino sugar and nucleotide sugar metabolism
Os06g0695500 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0101100 ,"Fatty acid elongation, Metabolic pathways, Fatty acid metabolism"
Os02g0146700 ,Proteasome
Os04g0442000 ,Plant hormone signal transduction
Os02g0714100 ,"Glycerolipid metabolism, Metabolic pathways"
Os01g0801100 ,Base excision repair
Os09g0503000 ,"alpha-Linolenic acid metabolism, Biosynthesis of secondary metabolites"
Os06g0643800 ,"Starch and sucrose metabolism, Metabolic pathways"
Os04g0660600 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os03g0844450 ,RNA degradation
Os03g0320100 ,Amino sugar and nucleotide sugar metabolism
Os03g0854100 ,Endocytosis
Os07g0102000 ,Metabolic pathways
Os02g0164800 ,Protein processing in endoplasmic reticulum
Os04g0530500 ,Protein processing in endoplasmic reticulum
Os03g0452300 ,Ribosome
Os07g0636000 ,Ribosome biogenesis in eukaryotes
Os06g0180000 ,Other types of O-glycan biosynthesis
Os12g0292400 ,"Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os03g0321800 ,"Lipoic acid metabolism, Metabolic pathways"
Os07g0435100 ,Proteasome
Os04g0303950 ,Ribosome biogenesis in eukaryotes
Os07g0139400 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os08g0234000 ,Ribosome
Os03g0708000 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Arachidonic acid metabolism, Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0951400 ,"Pyrimidine metabolism, Metabolic pathways"
Os11g0285000 ,Sesquiterpenoid and triterpenoid biosynthesis
Os11g0216900 ,"Cysteine and methionine metabolism, Metabolic pathways"
Os06g0716700 ,"Protein processing in endoplasmic reticulum, Plant-pathogen interaction"
Os02g0236000 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Cysteine and methionine metabolism, Arginine and proline metabolism, Tyrosine metabolism, Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Carbon fixation in photosynthetic organisms, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os01g0742500 ,"Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os09g0321900 ,Ubiquitin mediated proteolysis
Os07g0173501 ,Ribosome
Os10g0163100 ,Autophagy - other
Os06g0699700 ,Folate biosynthesis
Os04g0429800 ,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
Os02g0611800 ,"Phenylpropanoid biosynthesis, Flavonoid biosynthesis, Stilbenoid, diarylheptanoid and gingerol biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0244700 ,Folate biosynthesis
Os05g0524400 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os04g0516600 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os06g0717100 ,Endocytosis
Os03g0603600 ,Glycerophospholipid metabolism
Os03g0726100 ,Phagosome
Os12g0443700 ,Aminoacyl-tRNA biosynthesis
Os02g0167300 ,Phagosome
Os10g0575000 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os07g0577400 ,Ubiquitin mediated proteolysis
Os07g0639800 ,Ribosome biogenesis in eukaryotes
Os01g0760600 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Cysteine and methionine metabolism, Arginine and proline metabolism, Tyrosine metabolism, Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Carbon fixation in photosynthetic organisms, Isoquinoline alkaloid biosynthesis, Tropane, piperidine and pyridine alkaloid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os03g0324300 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os06g0227250 ,Amino sugar and nucleotide sugar metabolism
Os09g0392100 ,Plant-pathogen interaction
Os05g0455700 ,"Pyrimidine metabolism, Metabolic pathways"
Os07g0656200 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0403100 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os09g0508900 ,Peroxisome
Os08g0270200 ,RNA degradation
Os06g0254600 ,"Cutin, suberine and wax biosynthesis"
Os02g0736400 ,"Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
Os03g0280000 ,ABC transporters
Os01g0971600 ,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os03g0761900 ,"Arginine and proline metabolism, Metabolic pathways"
Os07g0657900 ,Selenocompound metabolism
Os01g0125900 ,Ubiquitin mediated proteolysis
Os01g0248400 ,"Citrate cycle (TCA cycle), Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids, Peroxisome"
Os01g0178000 ,"Cysteine and methionine metabolism, Tryptophan metabolism, Metabolic pathways"
Os06g0185900 ,"Glutathione metabolism, Arachidonic acid metabolism"
Os12g0166500 ,Ribosome biogenesis in eukaryotes
Os05g0457800 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0142300 ,"Glycerolipid metabolism, Metabolic pathways"
Os01g0939600 ,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os03g0248000 ,Autophagy - other
Os12g0541000 ,"Riboflavin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0746700 ,Fructose and mannose metabolism
Os10g0525400 ,Glutathione metabolism
Os10g0167300 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os07g0108300 ,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glycine, serine and threonine metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os03g0109500 ,Ribosome
Os11g0620000 ,Protein export
Os02g0833300 ,Endocytosis
Os02g0668100 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0529800 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0578400 ,"Glycosaminoglycan degradation, Metabolic pathways"
Os01g0878900 ,Betalain biosynthesis
Os06g0335500 ,Plant hormone signal transduction
Os03g0598800 ,Ribosome
Os02g0554000 ,Lysine degradation
Os01g0711400 ,"Glycine, serine and threonine metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0764800 ,Plant hormone signal transduction
Os09g0491100 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0119800 ,"Phosphonate and phosphinate metabolism, Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0624700 ,"Pyrimidine metabolism, Metabolic pathways"
Os05g0127200 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, AGE-RAGE signaling pathway in diabetic complications"
Os04g0119400 ,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0958100 ,Protein export
Os06g0136700 ,Endocytosis
Os04g0137500 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os05g0198700 ,"Basal transcription factors, Nucleotide excision repair"
Os10g0189600 ,"Sphingolipid metabolism, Metabolic pathways"
Os01g0847800 ,"Pentose and glucuronate interconversions, Fructose and mannose metabolism, Galactose metabolism, Glycerolipid metabolism, Folate biosynthesis, Metabolic pathways"
Os10g0170300 ,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Metabolic pathways"
Os02g0104700 ,"Arginine biosynthesis, Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Plant-pathogen interaction"
Os02g0228900 ,Plant hormone signal transduction
Os03g0253100 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0508200 ,"Citrate cycle (TCA cycle), Glutathione metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids, Peroxisome"
Os09g0568200 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair"
Os02g0123200 ,Peroxisome
Os03g0254800 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os02g0107200 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0797400 ,DNA replication
Os06g0604300 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Endocytosis"
Os02g0605500 ,Ubiquinone and other terpenoid-quinone biosynthesis
Os02g0658900 ,SNARE interactions in vesicular transport
Os07g0587100 ,Other types of O-glycan biosynthesis
Os02g0745700 ,"Sphingolipid metabolism, Metabolic pathways"
Os09g0133200 ,"Metabolic pathways, Peroxisome"
Os04g0693000 ,"N-Glycan biosynthesis, Metabolic pathways, Protein processing in endoplasmic reticulum"
Os12g0403800 ,RNA degradation
Os03g0135200 ,Glutathione metabolism
Os03g0633500 ,Plant hormone signal transduction
Os04g0599900 ,Endocytosis
Os03g0337800 ,Ribosome
Os05g0415800 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0301700 ,"Oxidative phosphorylation, Metabolic pathways"
Os06g0128300 ,ABC transporters
Os02g0512000 ,Plant hormone signal transduction
Os05g0355500 ,Ribosome
Os02g0829100 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os10g0407100 ,Ribosome
Os06g0311600 ,Fructose and mannose metabolism
Os03g0390400 ,"Oxidative phosphorylation, Metabolic pathways"
Os01g0918200 ,RNA transport
Os02g0610600 ,Spliceosome
Os02g0182100 ,Plant hormone signal transduction
Os03g0639800 ,Endocytosis
Os01g0805800 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os05g0438500 ,Oxidative phosphorylation
Os07g0639000 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0130500 ,Ribosome
Os05g0579100 ,Base excision repair
Os06g0558766 ,mRNA surveillance pathway
Os03g0309200 ,Circadian rhythm - plant
Os01g0807900 ,"Pyrimidine metabolism, beta-Alanine metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways"
Os01g0178500 ,Plant hormone signal transduction
Os04g0413500 ,"Galactose metabolism, Starch and sucrose metabolism, Metabolic pathways"
Os02g0205400 ,RNA transport
Os08g0162033 ,Ribosome
Os07g0677300 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0432000 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os11g0701400 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os05g0161800 ,Purine metabolism
Os04g0651000 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0580900 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os09g0424300 ,"Cysteine and methionine metabolism, Arginine and proline metabolism, Metabolic pathways"
Os07g0408700 ,"Cysteine and methionine metabolism, Arginine and proline metabolism, beta-Alanine metabolism, Glutathione metabolism, Metabolic pathways"
Os11g0642800 ,"Cysteine and methionine metabolism, Glutathione metabolism, Metabolic pathways"
Os01g0811300 ,Lysine degradation
Os10g0339290 ,Other glycan degradation
Os08g0559200 ,Ribosome
Os02g0639600 ,"Sphingolipid metabolism, Metabolic pathways"
Os10g0320400 ,"Oxidative phosphorylation, Metabolic pathways"
Os08g0322600 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0200700 ,"Steroid biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0727300 ,Amino sugar and nucleotide sugar metabolism
Os11g0507200 ,"Cutin, suberine and wax biosynthesis"
